epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94192,1.60533,3.47646,1.25304,0.00111,0.00271,0.00056,0.00017,0.94889,3.45146,1.07739,0.0001,0.0001,0.0001
2,4.50594,1.17701,3.10782,1.12826,0.00222,0.00542,0.00112,0.0009,0.92352,3.19226,0.9439,0.000218548,0.000218548,0.000218548
3,6.07349,1.26606,3.16164,1.18789,0.00222,0.00542,0.00112,0.0009,0.92352,3.19226,0.9439,0.000335512,0.000335512,0.000335512
4,7.66453,1.21052,2.96739,1.1485,0.05889,0.14363,0.05195,0.02295,1.06749,3.046,0.90531,0.000450892,0.000450892,0.000450892
5,9.2639,1.15725,2.74579,1.02469,0.05889,0.14363,0.05195,0.02295,1.06749,3.046,0.90531,0.000564688,0.000564688,0.000564688
6,10.8091,1.34451,2.32721,1.07298,0.05889,0.14363,0.05195,0.02295,1.06749,3.046,0.90531,0.0006769,0.0006769,0.0006769
7,12.4022,1.36237,2.67925,1.07441,0.05889,0.14363,0.05195,0.02295,1.06749,3.046,0.90531,0.000787528,0.000787528,0.000787528
8,13.9239,1.21689,2.52339,1.05898,0.05889,0.14363,0.05195,0.02295,1.06749,3.046,0.90531,0.000896572,0.000896572,0.000896572
9,15.4644,1.28099,2.57009,1.06093,0.05889,0.14363,0.05195,0.02295,1.06749,3.046,0.90531,0.00100403,0.00100403,0.00100403
10,17.0967,1.11061,2.66958,1.01015,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.00110991,0.00110991,0.00110991
11,18.6664,1.29972,1.8187,1.15633,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.0012142,0.0012142,0.0012142
12,20.2593,1.23684,1.91926,1.08045,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.00131691,0.00131691,0.00131691
13,21.8457,1.34094,1.84748,1.15622,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.00141803,0.00141803,0.00141803
14,23.4435,1.3576,1.88219,1.13338,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.00151757,0.00151757,0.00151757
15,25.0428,1.33118,1.9805,1.11321,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.00161553,0.00161553,0.00161553
16,26.6037,1.30877,1.87946,1.09996,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.0017119,0.0017119,0.0017119
17,28.2146,1.33137,1.98578,1.11341,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.0017888,0.0017888,0.0017888
18,29.8722,1.43247,1.9947,1.10784,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.0017756,0.0017756,0.0017756
19,31.5115,1.35751,1.95288,1.12194,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.0017624,0.0017624,0.0017624
20,33.0671,1.2527,1.78795,1.11972,0.25646,0.24932,0.15504,0.0427,1.18438,2.74728,1.00265,0.0017492,0.0017492,0.0017492
21,34.6622,1.43134,1.73471,1.20476,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.001736,0.001736,0.001736
22,36.279,1.67739,1.41629,1.29386,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0017228,0.0017228,0.0017228
23,37.804,1.75205,1.47074,1.40342,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0017096,0.0017096,0.0017096
24,39.381,1.58499,1.48312,1.22349,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0016964,0.0016964,0.0016964
25,40.9861,1.62839,1.42969,1.24449,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0016832,0.0016832,0.0016832
26,42.5667,1.72416,1.5114,1.33717,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.00167,0.00167,0.00167
27,44.1732,1.77869,1.56614,1.37637,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0016568,0.0016568,0.0016568
28,45.804,1.68936,1.45426,1.29478,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0016436,0.0016436,0.0016436
29,47.3996,1.67571,1.40071,1.3116,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0016304,0.0016304,0.0016304
30,48.9783,1.6492,1.41133,1.28322,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.0016172,0.0016172,0.0016172
31,50.591,1.54636,1.47081,1.19907,0.41797,0.45799,0.35513,0.20561,1.79808,1.92414,1.35788,0.001604,0.001604,0.001604
32,52.1857,1.54297,1.62674,1.23178,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0015908,0.0015908,0.0015908
33,53.8365,1.55295,1.35689,1.18875,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0015776,0.0015776,0.0015776
34,55.4257,1.639,1.29184,1.2357,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0015644,0.0015644,0.0015644
35,57.0786,1.60445,1.26163,1.18571,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0015512,0.0015512,0.0015512
36,58.6792,1.54606,1.30938,1.21956,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.001538,0.001538,0.001538
37,60.266,1.68227,1.35214,1.28321,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0015248,0.0015248,0.0015248
38,61.8675,1.72798,1.44135,1.29796,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0015116,0.0015116,0.0015116
39,63.4338,1.57899,1.4363,1.2416,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0014984,0.0014984,0.0014984
40,64.9858,1.68402,1.42292,1.31723,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.0014852,0.0014852,0.0014852
41,66.5779,1.63041,1.5375,1.25798,0.63403,0.65854,0.64591,0.25282,1.99534,1.79096,1.41957,0.001472,0.001472,0.001472
42,68.1475,1.70436,1.54966,1.31719,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0014588,0.0014588,0.0014588
43,69.7828,1.37214,1.22424,1.16255,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0014456,0.0014456,0.0014456
44,71.3971,1.33694,1.24605,1.20785,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0014324,0.0014324,0.0014324
45,73.0419,1.22812,1.19542,1.17957,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0014192,0.0014192,0.0014192
46,74.6185,1.28485,1.29786,1.19189,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.001406,0.001406,0.001406
47,76.2423,1.29693,1.18645,1.13374,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0013928,0.0013928,0.0013928
48,77.8188,1.38951,1.25634,1.26132,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0013796,0.0013796,0.0013796
49,79.3731,1.33682,1.29675,1.24196,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0013664,0.0013664,0.0013664
50,80.9326,1.24229,1.31543,1.17605,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0013532,0.0013532,0.0013532
51,82.5383,1.3595,1.31614,1.2396,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.00134,0.00134,0.00134
52,84.1694,1.31465,1.20818,1.17902,0.80123,0.7832,0.84764,0.54146,1.23627,1.22077,1.12562,0.0013268,0.0013268,0.0013268
53,85.7886,1.26619,1.20959,1.16595,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0013136,0.0013136,0.0013136
54,87.3496,1.15819,1.11115,1.11463,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0013004,0.0013004,0.0013004
55,88.9425,1.18859,1.29345,1.1063,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0012872,0.0012872,0.0012872
56,90.5483,1.11071,1.10277,1.04924,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.001274,0.001274,0.001274
57,92.1354,1.08725,1.19337,1.08808,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0012608,0.0012608,0.0012608
58,93.7631,1.15704,1.17941,1.06728,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0012476,0.0012476,0.0012476
59,95.3698,1.17492,1.14745,1.05604,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0012344,0.0012344,0.0012344
60,96.9539,1.17085,1.26335,1.055,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0012212,0.0012212,0.0012212
61,98.4726,1.04907,1.16743,1.0709,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.001208,0.001208,0.001208
62,100.036,1.09602,1.11656,1.07275,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0011948,0.0011948,0.0011948
63,101.626,1.14544,1.14755,1.05055,0.8586,0.87214,0.89045,0.6102,1.06427,1.1885,1.03365,0.0011816,0.0011816,0.0011816
64,103.191,1.16701,1.19322,1.13382,0.91127,0.91057,0.92893,0.71484,0.96635,0.97601,1.02589,0.0011684,0.0011684,0.0011684
